Village Name,Town/City,County
Acushnet Center,Acushnet,Bristol
Adamsdale,North Attleborough,Bristol
Amherst Center,Amherst,Hampshire
Annisquam,Gloucester,Essex
Assonet,Freetown,Bristol
Auburndale,Newton,Middlesex
Ayers Village,Haverhill,Essex
Baldwinville (Baldwinsville),Templeton,Worcester
Berkshire,Lanesborough,Berkshire
Beverly Farms,Beverly,Essex
Bliss Corner,Dartmouth,Bristol
Bondsville,Palmer,Hampden
Braggville,Holliston,Middlesex
Braggville,Medway,Norfolk
Braggville,Milford,Worcester
Buzzards Bay,Bourne,Barnstable
Cedar Crest,Marshfield,Plymouth
Centerville,Barnstable,Barnstable
Coltsville,Pittsfield,Berkshire
Chestnut Hill,Belchertown,Hampshire
Chestnut Hill,Blackstone,Worcester
Chestnut Hill,Boston,Suffolk
Chestnut Hill,Brookline,Norfolk
Chestnut Hill,Newton,Middlesex
Churchill,Holyoke,Hampden
Cordaville,Southborough,Worcester
Cotuit,Barnstable,Barnstable
Dennis Port (Dennisport),Dennis,Barnstable
East Dennis,Dennis,Barnstable
East Douglas,Douglas,Worcester
East Falmouth,Falmouth,Barnstable
East Freetown,Freetown,Bristol
East Harwich,Harwich,Barnstable
East Sandwich,Sandwich,Barnstable
East Taunton,Taunton,Bristol
East Templeton,Templeton,Worcester
Elmwood,Holyoke,Hampden
The Flats,Holyoke,Hampden
Fiskdale (Fiskedale),Sturbridge,Worcester
Florence,Northampton,Hampshire
Forestdale,Sandwich,Barnstable
Glendale,Stockbridge,Berkshire
Green Harbor,Duxbury,Plymouth
Green Harbor,Marshfield,Plymouth
Greenbush,Scituate,Plymouth
Greendale,Worcester,Worcester
Harwich Center,Harwich,Barnstable
Harwich Port,Harwich,Barnstable
Haydenville,Williamsburg,Hampshire
Highlands,Holyoke,Hampden
Highland Park,Holyoke,Hampden
Homestead Avenue,Holyoke,Hampden
Housatonic,Great Barrington,Berkshire
Humarock,Scituate,Plymouth
Hyannis,Barnstable,Barnstable
Indian Orchard,Springfield,Hampden
Ingleside,Holyoke,Hampden
Interlaken,Stockbridge,Berkshire
Jarvis Avenue,Holyoke,Hampden
Jefferson,Holden,Worcester
Leeds,Northampton,Hampshire
Mansfield Center,Mansfield,Bristol
Marion Center,Marion,Plymouth
Marshfield Hills,Marshfield,Plymouth
Marstons Mills,Barnstable,Barnstable
Mashpee Neck,Mashpee,Barnstable
Mattapoisett Center,Mattapoisett,Plymouth
Menemsha,Chilmark,Dukes
Metcalf,Holliston,Middlesex
Middleborough Center,Middleborough,Plymouth
Millers Falls,Montague,Franklin
Minot,Scituate,Plymouth
Monson Center,Monson,Hampden
Monument Beach,Bourne,Barnstable
Nagog Woods,Acton,Middlesex
New Seabury,Mashpee,Barnstable
Newton Centre,Newton,Middlesex
Newton Corner,Newton,Middlesex
Newton Highlands,Newton,Middlesex
Newton Lower Falls,Newton,Middlesex
Newton Upper Falls,Newton,Middlesex
Newtonville,Newton,Middlesex
Nonantum,Newton,Middlesex
North Amherst,Amherst,Hampshire
North Attleborough Center,North Attleborough,Bristol
North Billerica,Billerica,Middlesex
North Falmouth,Falmouth,Barnstable
North Harwich,Harwich,Barnstable
North Lakeville,Lakeville,Plymouth
North Pembroke,Pembroke,Plymouth
North Plymouth,Plymouth,Plymouth
North Scituate (formerly Gannett Corner),Scituate,Plymouth
North Seekonk,Seekonk,Bristol
North Uxbridge,Uxbridge,Worcester
North Westport,Westport,Bristol
Norton Center,Norton,Bristol
Oakdale,West Boylston,Worcester
Oakdale,Holyoke,Hampden
Oak Hill,Newton,Middlesex
Ocean Grove,Swansea,Bristol
Onset,Wareham,Plymouth
Osterville,Barnstable,Barnstable
Otter River,Templeton,Worcester
Pleasant Lake,Harwich,Barnstable
Pocasset,Bourne,Barnstable
Popponesset,Mashpee,Barnstable
Prides Crossing,Beverly,Essex
Quinsigamond Village,Worcester,Worcester
Raynham Center,Raynham,Bristol
Rock Valley,Holyoke,Hampden
Sagamore,Bourne,Barnstable
Seabrook,Mashpee,Barnstable
Shelburne Falls,Shelburne and Buckland,Franklin
Smith's Ferry,Holyoke,Hampden
Smith Mills,Dartmouth,Bristol
South Acton,Acton,Middlesex
South Amherst,Amherst,Hampshire
South Ashburnham,Ashburnham,Worcester
South Attleboro,Attleboro,Bristol
South Deerfield,Deerfield,Franklin
South Dennis,Dennis,Barnstable
South Duxbury,Duxbury,Plymouth
South Holyoke,Holyoke,Hampden
South Lancaster,Lancaster,Worcester
South Harwich,Harwich,Barnstable
South Yarmouth,Yarmouth,Barnstable
Springdale,Holyoke,Hampden
Tatnuck,Worcester,Worcester
Teaticket,Falmouth,Barnstable
Templeton Center,Templeton,Worcester
Three Rivers,Palmer,Hampden
Thompsonville,Newton,Middlesex
Townsend Harbor,Townsend,Middlesex
Turners Falls,Montague,Franklin
Vernon Hill,Worcester,Worcester
Vineyard Haven,Tisbury,Dukes
Waban,Newton,Middlesex
Wareham Center,Wareham,Plymouth
West Barnstable,Barnstable,Barnstable
West Dennis,Dennis,Barnstable
West Falmouth,Falmouth,Barnstable
West Newton,Newton,Middlesex
West Wareham,Wareham,Plymouth
West Yarmouth,Yarmouth,Barnstable
West Harwich,Harwich,Barnstable
Weweantic,Wareham,Plymouth
White Island Shores,Plymouth,Plymouth
Whiting Farms,Holyoke,Hampden
Whitinsville,Northbridge,Worcester
Williamsville,Hubbardston,Worcester
Woods Hole,Falmouth,Barnstable
Wyben (formerly West Farms)[1],Westfield,Hampden
Yarmouth Port,Yarmouth,Barnstable